,Name,Year,Selling_Price,Km_Driven,Fuel,Seller_Type,Transmission,Owner,Brand,Model,Km_Driven_log,Selling_Price_log,Car_Age
2371,Renault Duster 85PS Diesel RxZ,2017,600000,90000,Diesel,Individual,Manual,First Owner,Renault,Duster85PS,11.407564949312402,13.304684934198283,7
2372,Maruti Swift ZXI Plus,2018,700000,30000,Petrol,Individual,Manual,First Owner,Maruti,SwiftZXI,10.308952660644293,13.458835614025542,6
2374,Maruti Celerio ZXI,2019,490000,20000,Petrol,Dealer,Manual,First Owner,Maruti,CelerioZXI,9.903487552536127,13.102160670086809,5
2375,Tata Safari DICOR 2.2 EX 4x2,2013,380000,100000,Diesel,Individual,Manual,First Owner,Tata,SafariDICOR,11.512925464970229,12.84792653170257,11
2376,Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,2018,550000,31000,Petrol,Dealer,Manual,First Owner,Hyundai,Grandi10,10.341742483467284,13.217673557208654,6
2377,Maruti Alto 800 LXI,2013,225000,47000,Petrol,Dealer,Manual,First Owner,Maruti,Alto800,10.757902880692196,12.323855681186558,11
2378,Tata Nexon 1.2 Revotron XM,2018,570000,11200,Petrol,Individual,Manual,First Owner,Tata,Nexon1.2,9.323669057283185,13.253391639810733,6
2379,Maruti Alto 800 LXI,2018,305000,35000,Petrol,Dealer,Manual,First Owner,Maruti,Alto800,10.46310334047155,12.628067055589549,6
2380,Maruti Wagon R Duo Lxi,2010,240000,50000,LPG,Dealer,Manual,First Owner,Maruti,WagonR,10.819778284410283,12.388394202324129,14
2381,Maruti Ertiga SHVS VDI,2015,700000,55000,Diesel,Dealer,Manual,First Owner,Maruti,ErtigaSHVS,10.915088464214607,13.458835614025542,9
2382,Maruti Omni E MPI STD BS IV,2018,288000,20000,Petrol,Dealer,Manual,First Owner,Maruti,OmniE,9.903487552536127,12.570715759118084,6
2384,Maruti Celerio VXI,2017,430000,93000,Petrol,Dealer,Manual,First Owner,Maruti,CelerioVXI,11.440354772135393,12.971540487669746,7
2385,Chevrolet Beat Diesel LT Option,2009,195000,57000,Diesel,Dealer,Manual,Second Owner,Chevrolet,BeatDiesel,10.950806546816688,12.180754837545884,15
2386,Maruti Eeco Smiles 5 Seater AC,2014,325000,30000,Petrol,Dealer,Manual,First Owner,Maruti,EecoSmiles,10.308952660644293,12.691580461311874,10
2387,Renault Duster 85PS Diesel RxE,2013,450000,73000,Diesel,Dealer,Manual,First Owner,Renault,Duster85PS,11.198214720130528,13.017002861746503,11
2388,Maruti Swift Dzire VDI,2016,630000,65000,Diesel,Dealer,Manual,First Owner,Maruti,SwiftDzire,11.082142548877775,13.353475098367715,8
2389,Maruti Swift 1.3 VXi,2009,250000,62000,Petrol,Dealer,Manual,Second Owner,Maruti,Swift1.3,11.03488966402723,12.429216196844383,15
2390,Hyundai Santro GLS I - Euro II,2007,135000,85000,Petrol,Dealer,Manual,First Owner,Hyundai,SantroGLS,11.350406535472453,11.813030057420567,17
2391,Chevrolet Spark 1.0 PS,2010,110000,73000,Petrol,Individual,Manual,First Owner,Chevrolet,Spark1.0,11.198214720130528,11.608235644774552,14
2392,Maruti Swift ZDi,2012,350000,55000,Diesel,Dealer,Manual,First Owner,Maruti,SwiftZDi,10.915088464214607,12.765688433465597,12
2393,Maruti Omni E MPI STD BS IV,2016,240000,5800,Petrol,Individual,Manual,Second Owner,Maruti,OmniE,8.66561319653451,12.388394202324129,8
2395,Maruti Swift ZXI Plus,2018,600000,30000,Petrol,Individual,Manual,First Owner,Maruti,SwiftZXI,10.308952660644293,13.304684934198283,6
2396,Maruti Swift Dzire VDI,2018,750000,20000,Diesel,Individual,Manual,First Owner,Maruti,SwiftDzire,9.903487552536127,13.527828485512494,6
2397,Hyundai EON Era Plus,2018,270000,20000,Petrol,Individual,Manual,First Owner,Hyundai,EONEra,9.903487552536127,12.506177237980511,6
2398,Maruti Alto LXi,2007,90000,100000,Petrol,Individual,Manual,Second Owner,Maruti,AltoLXi,11.512925464970229,11.407564949312402,17
2399,Maruti Wagon R Stingray VXI,2013,350000,65000,Petrol,Individual,Manual,First Owner,Maruti,WagonR,11.082142548877775,12.765688433465597,11
2400,Ford Figo Diesel Celebration Edition,2013,285000,90000,Diesel,Individual,Manual,Second Owner,Ford,FigoDiesel,11.407564949312402,12.560244459250788,11
2405,Honda Jazz Select Edition Active,2010,285000,60000,Petrol,Dealer,Manual,Second Owner,Honda,JazzSelect,11.002099841204238,12.560244459250788,14
2407,Honda Amaze VX Diesel BSIV,2018,780000,32114,Diesel,Dealer,Manual,First Owner,Honda,AmazeVX,10.37704735110963,13.567049198665774,6
2408,Maruti Celerio VXI,2014,300000,82000,Petrol,Dealer,Manual,Second Owner,Maruti,CelerioVXI,11.314474526246391,12.611537753638338,10
2409,Maruti Swift VXI BSIII,2006,160000,95149,Petrol,Dealer,Manual,Second Owner,Maruti,SwiftVXI,11.463199362947575,11.982929094215963,18
2410,Honda Amaze VX i-VTEC,2018,625000,68458,Petrol,Dealer,Manual,First Owner,Honda,AmazeVX,11.13397569751779,13.345506928718539,6
2411,Maruti Ritz VXi,2010,265000,42000,Petrol,Individual,Manual,First Owner,Maruti,RitzVXi,10.645424897265505,12.487485104968359,14
2412,Honda City i DTEC V,2014,515000,90000,Diesel,Individual,Manual,Second Owner,Honda,Cityi,11.407564949312402,13.151922179645874,10
2421,Hyundai i20 Active 1.4 SX,2016,650000,100000,Diesel,Individual,Manual,First Owner,Hyundai,i20Active,11.512925464970229,13.38472764187182,8
2422,Mahindra TUV 300 T8,2017,650000,80000,Diesel,Individual,Manual,First Owner,Mahindra,TUV300,11.289781913656018,13.38472764187182,7
2423,Hyundai Getz 1.3 GLS,2010,150000,105546,Petrol,Individual,Manual,First Owner,Hyundai,Getz1.3,11.566902155826961,11.918390573078392,14
2424,Toyota Etios Liva 1.2 V,2018,500000,10000,Petrol,Individual,Manual,First Owner,Toyota,EtiosLiva,9.210340371976184,13.122363377404328,6
2426,Hyundai i20 Magna Optional 1.2,2013,340000,35000,Petrol,Individual,Manual,First Owner,Hyundai,i20Magna,10.46310334047155,12.736700896592344,11
2430,Maruti Swift VDI BSIV,2016,595000,70000,Diesel,Individual,Manual,First Owner,Maruti,SwiftVDI,11.156250521031495,13.296316684527767,8
2432,Renault KWID RXL,2019,265000,40000,Petrol,Individual,Manual,First Owner,Renault,KWIDRXL,10.596634733096073,12.487485104968359,5
2433,Maruti Alto K10 VXI,2015,320000,60000,Petrol,Individual,Manual,Second Owner,Maruti,AltoK10,11.002099841204238,12.676076274775909,9
2434,Honda City 1.5 S MT,2011,310000,110000,Petrol,Individual,Manual,First Owner,Honda,City1.5,11.608235644774552,12.644327576461329,13
2436,Maruti Alto LXi BSIII,2009,130000,80000,Petrol,Individual,Manual,Second Owner,Maruti,AltoLXi,11.289781913656018,11.77528972943772,15
2438,Honda Amaze E i-Dtech,2015,300000,104000,Diesel,Individual,Manual,Second Owner,Honda,AmazeE,11.55214617812351,12.611537753638338,9
2439,Maruti Swift Dzire LXi,2011,150000,100000,Petrol,Individual,Manual,Second Owner,Maruti,SwiftDzire,11.512925464970229,11.918390573078392,13
2442,Maruti Wagon R VXI BS IV,2007,100000,60000,Petrol,Individual,Manual,Second Owner,Maruti,WagonR,11.002099841204238,11.512925464970229,17
2443,Honda Jazz 1.5 SV i DTEC,2015,450000,76000,Diesel,Individual,Manual,First Owner,Honda,Jazz1.5,11.238488619268468,13.017002861746503,9
2444,Maruti 800 EX,2004,30000,60000,Petrol,Individual,Manual,Third Owner,Maruti,800EX,11.002099841204238,10.308952660644293,20
2445,Mahindra Renault Logan 1.6 Petrol GLSX,2009,200000,30000,Petrol,Individual,Manual,Second Owner,Mahindra,RenaultLogan,10.308952660644293,12.206072645530174,15
2446,Tata Indigo LS,2010,250000,96000,Diesel,Individual,Manual,Second Owner,Tata,IndigoLS,11.472103470449973,12.429216196844383,14
2460,Maruti Alto VXi,2015,280000,26134,Petrol,Dealer,Manual,First Owner,Maruti,AltoVXi,10.170992427549091,12.542544882151386,9
2464,Maruti Ritz VDi,2011,260000,52895,Diesel,Dealer,Manual,First Owner,Maruti,RitzVDi,10.876064095420874,12.468436909997665,13
2465,Hyundai Verna SX Diesel,2013,550000,42324,Diesel,Dealer,Manual,Second Owner,Hyundai,VernaSX,10.653109580024053,13.217673557208654,11
2467,Mahindra Scorpio EX,2012,550000,60236,Diesel,Dealer,Manual,First Owner,Mahindra,ScorpioEX,11.00602545920671,13.217673557208654,12
2468,Maruti Wagon R VXI BS IV,2014,210000,70000,Petrol,Individual,Manual,Second Owner,Maruti,WagonR,11.156250521031495,12.254862809699606,10
2469,Maruti Wagon R VXI BS IV,2014,210000,70000,Petrol,Individual,Manual,Third Owner,Maruti,WagonR,11.156250521031495,12.254862809699606,10
2470,Mahindra Xylo E8,2009,290000,100000,Diesel,Individual,Manual,Second Owner,Mahindra,XyloE8,11.512925464970229,12.577636201962656,15
2471,Fiat 500 Lounge,2008,250999,110000,Diesel,Individual,Manual,First Owner,Fiat,500Lounge,11.608235644774552,12.43320423404224,16
2472,Renault Triber RXT BSIV,2019,600000,10300,Petrol,Individual,Manual,First Owner,Renault,TriberRXT,9.239899174217728,13.304684934198283,5
2476,Tata Altroz XE,2020,500000,5000,Petrol,Individual,Manual,First Owner,Tata,AltrozXE,8.517193191416238,13.122363377404328,4
2478,Hyundai Grand i10 1.2 Kappa Sportz BSIV,2016,396000,28643,Petrol,Dealer,Manual,First Owner,Hyundai,Grandi10,10.262664364192181,12.889169490236618,8
2479,Honda City i DTEC VX,2014,600000,50000,Diesel,Individual,Manual,First Owner,Honda,Cityi,10.819778284410283,13.304684934198283,10
2480,Maruti Wagon R ZXI 1.2,2019,575000,30000,Petrol,Dealer,Manual,First Owner,Maruti,WagonR,10.308952660644293,13.262125319779487,5
2481,Hyundai Santro Sportz BSIV,2020,520000,5000,Petrol,Individual,Manual,First Owner,Hyundai,SantroSportz,8.517193191416238,13.16158409055761,4
2483,Maruti Baleno Delta Automatic,2018,600000,7600,Petrol,Individual,Automatic,First Owner,Maruti,BalenoDelta,8.935903526274423,13.304684934198283,6
2484,Chevrolet Beat Diesel LS,2013,195000,47253,Diesel,Dealer,Manual,First Owner,Chevrolet,BeatDiesel,10.763271422969845,12.180754837545884,11
2485,Maruti Alto K10 VXI AGS,2015,281000,4432,Petrol,Dealer,Automatic,Second Owner,Maruti,AltoK10,8.39660622842712,12.546109948315882,9
2486,Tata Indica GLS BS IV,2010,75000,110000,Petrol,Individual,Manual,Second Owner,Tata,IndicaGLS,11.608235644774552,11.225243392518447,14
2487,Hyundai Grand i10 Sportz,2014,400000,25000,Petrol,Individual,Manual,First Owner,Hyundai,Grandi10,10.126631103850338,12.89921982609012,10
2488,Tata Indica Vista Terra 1.4 TDI,2009,93000,70000,Diesel,Individual,Manual,Second Owner,Tata,IndicaVista,11.156250521031495,11.440354772135393,15
2489,Hyundai i20 Active S Petrol,2016,560000,68523,Petrol,Dealer,Manual,First Owner,Hyundai,i20Active,11.134924734316744,13.235692062711331,8
2490,Hyundai EON 1.0 Era Plus,2019,400000,5000,Petrol,Individual,Manual,First Owner,Hyundai,EON1.0,8.517193191416238,12.89921982609012,5
2491,Tata Tigor 1.2 Revotron XT,2018,459999,40000,Petrol,Individual,Manual,First Owner,Tata,Tigor1.2,10.596634733096073,13.038979594549872,6
2492,Hyundai Xcent 1.2 CRDi E,2017,450000,43000,Diesel,Individual,Manual,First Owner,Hyundai,Xcent1.2,10.668955394675699,13.017002861746503,7
2493,Maruti Alto Green LXi (CNG),2010,88000,80251,CNG,Dealer,Manual,Second Owner,Maruti,AltoGreen,11.292914501973813,11.385092093460344,14
2494,Hyundai i20 1.2 Era,2010,250000,34500,Petrol,Individual,Manual,Second Owner,Hyundai,i201.2,10.448714603019452,12.429216196844383,14
2495,Ford Ikon 1.4 ZXi,2000,22000,42743,Petrol,Dealer,Manual,Third Owner,Ford,Ikon1.4,10.66296071826755,9.998797732340453,24
2496,Chevrolet Beat Diesel LS,2013,130000,93900,Diesel,Individual,Manual,Second Owner,Chevrolet,BeatDiesel,11.449985665196355,11.77528972943772,11
2497,Maruti Zen VXi - BS III,2004,79000,80000,Petrol,Individual,Manual,First Owner,Maruti,ZenVXi,11.289781913656018,11.27720313144916,20
2498,Chevrolet Beat Diesel LS,2012,120000,110000,Diesel,Individual,Manual,First Owner,Chevrolet,BeatDiesel,11.608235644774552,11.695247021764184,12
2500,Chevrolet Optra Magnum 2.0 LT,2012,300000,25000,Diesel,Individual,Manual,First Owner,Chevrolet,OptraMagnum,10.126631103850338,12.611537753638338,12
2502,Maruti A-Star Lxi,2009,145000,25000,Petrol,Individual,Manual,First Owner,Maruti,A-StarLxi,10.126631103850338,11.884489021402711,15
2504,Chevrolet Spark 1.0 LT,2013,240000,10000,Petrol,Individual,Manual,First Owner,Chevrolet,Spark1.0,9.210340371976184,12.388394202324129,11
2505,Honda WR-V i-DTEC VX,2018,700000,30000,Diesel,Individual,Manual,First Owner,Honda,WR-Vi-DTEC,10.308952660644293,13.458835614025542,6
2506,Hyundai Accent GLX,2010,145000,110000,Petrol,Individual,Manual,Second Owner,Hyundai,AccentGLX,11.608235644774552,11.884489021402711,14
2507,Maruti Ertiga VDI Limited Edition,2014,535000,80000,Diesel,Individual,Manual,Second Owner,Maruti,ErtigaVDI,11.289781913656018,13.190022025878143,10
2508,Mahindra KUV 100 mFALCON G80 K2 Plus,2016,420000,21000,Petrol,Individual,Manual,First Owner,Mahindra,KUV100,9.95227771670556,12.948009990259552,8
2509,Maruti Alto K10 VXI,2016,350000,20000,Petrol,Individual,Manual,First Owner,Maruti,AltoK10,9.903487552536127,12.765688433465597,8
2510,Maruti Swift VDI BSIV,2015,550000,32000,Diesel,Individual,Manual,First Owner,Maruti,SwiftVDI,10.373491181781864,13.217673557208654,9
2512,Tata Indica Vista Aqua 1.3 Quadrajet ABS BSIV,2012,198000,70000,Diesel,Individual,Manual,Second Owner,Tata,IndicaVista,11.156250521031495,12.196022309676673,12
2513,Hyundai i20 Magna Optional 1.4 CRDi,2013,420000,50000,Diesel,Individual,Manual,First Owner,Hyundai,i20Magna,10.819778284410283,12.948009990259552,11
2516,Hyundai EON Sportz,2012,150000,55766,Petrol,Individual,Manual,Second Owner,Hyundai,EONSportz,10.928919643662725,11.918390573078392,12
2517,Nissan Micra XL,2011,275000,40000,Petrol,Individual,Manual,Second Owner,Nissan,MicraXL,10.596634733096073,12.524526376648708,13
2518,Maruti 800 Std,2001,65000,60000,Petrol,Individual,Manual,Third Owner,Maruti,800Std,11.002099841204238,11.082142548877775,23
2519,Maruti Swift LXi BSIV,2008,200000,50000,Petrol,Individual,Manual,First Owner,Maruti,SwiftLXi,10.819778284410283,12.206072645530174,16
2520,Maruti Swift Dzire VDi,2010,250000,110000,Diesel,Individual,Manual,Second Owner,Maruti,SwiftDzire,11.608235644774552,12.429216196844383,14
2528,Tata Indigo TDI,2013,182000,100000,Diesel,Individual,Manual,First Owner,Tata,IndigoTDI,11.512925464970229,12.111761966058932,11
2541,Maruti Zen VX,2001,85000,86000,Petrol,Individual,Manual,Second Owner,Maruti,ZenVX,11.362102575235644,11.350406535472453,23
2542,Maruti Swift VDI,2013,400000,50000,Diesel,Individual,Manual,First Owner,Maruti,SwiftVDI,10.819778284410283,12.89921982609012,11
2543,Maruti Baleno Delta 1.3,2017,650000,20000,Diesel,Individual,Manual,First Owner,Maruti,BalenoDelta,9.903487552536127,13.38472764187182,7
2544,Hyundai i10 Magna 1.2,2010,400000,50000,Petrol,Individual,Manual,First Owner,Hyundai,i10Magna,10.819778284410283,12.89921982609012,14
2545,Tata Manza Aura (ABS) Quadrajet BS IV,2012,295000,80000,Diesel,Individual,Manual,Second Owner,Tata,ManzaAura,11.289781913656018,12.594730635321957,12
2548,Fiat Linea 1.3 Multijet Emotion,2015,550000,113600,Diesel,Individual,Manual,First Owner,Fiat,Linea1.3,11.640438785269188,13.217673557208654,9
2549,Hyundai Santro Xing GLS,2008,190000,70000,Petrol,Individual,Manual,Third Owner,Hyundai,SantroXing,11.156250521031495,12.154779351142624,16
2551,Ford Aspire Titanium Plus BSIV,2018,782000,14000,Petrol,Dealer,Manual,First Owner,Ford,AspireTitanium,9.546812608597396,13.569610019527449,6
2555,Honda Jazz 1.2 VX i VTEC,2016,612000,105429,Petrol,Dealer,Manual,First Owner,Honda,Jazz1.2,11.565793019559685,13.324487561494463,8
2556,Maruti Alto 800 LXI,2015,114999,35000,Petrol,Individual,Manual,First Owner,Maruti,Alto800,10.46310334047155,11.652678711655406,9
2557,Tata Bolt Quadrajet XE,2017,340000,60000,Diesel,Individual,Manual,First Owner,Tata,BoltQuadrajet,11.002099841204238,12.736700896592344,7
2558,Maruti Swift ZXI Plus,2020,550000,5000,Petrol,Individual,Manual,First Owner,Maruti,SwiftZXI,8.517193191416238,13.217673557208654,4
2559,Chevrolet Aveo U-VA 1.2 LT,2008,114999,70000,Petrol,Individual,Manual,Third Owner,Chevrolet,AveoU-VA,11.156250521031495,11.652678711655406,16
2560,Maruti Wagon R VXI,2000,105000,80000,Petrol,Individual,Manual,First Owner,Maruti,WagonR,11.289781913656018,11.56171562913966,24
2562,Tata Nexon 1.2 Revotron XZ Plus,2019,715000,8000,Petrol,Individual,Manual,First Owner,Tata,Nexon1.2,8.987196820661973,13.480037821676145,5
2563,Hyundai i20 Asta (o),2014,525000,54000,Petrol,Dealer,Manual,Second Owner,Hyundai,i20Asta,10.896739325546411,13.17115354157376,10
2569,Hyundai i20 Asta 1.2,2014,475000,23122,Petrol,Dealer,Manual,Second Owner,Hyundai,i20Asta,10.048539824235267,13.071070083016778,10
2576,Chevrolet Cruze LT,2012,349000,44500,Diesel,Dealer,Manual,Second Owner,Chevrolet,CruzeLT,10.703244468154331,12.762827201184564,12
2584,Mahindra Scorpio SLE BSIV,2014,550000,100000,Diesel,Individual,Manual,Second Owner,Mahindra,ScorpioSLE,11.512925464970229,13.217673557208654,10
2585,Maruti Swift 1.3 VXI ABS,2006,95000,110000,Petrol,Individual,Manual,Third Owner,Maruti,Swift1.3,11.608235644774552,11.461632170582678,18
2586,Toyota Innova 2.5 G (Diesel) 7 Seater,2014,725000,90000,Diesel,Individual,Manual,Second Owner,Toyota,Innova2.5,11.407564949312402,13.493926933836812,10
2587,Tata Tigor 1.2 Revotron XZ Option,2019,670000,17000,Petrol,Individual,Manual,First Owner,Tata,Tigor1.2,9.740968623038354,13.415032991367148,5
2589,Mahindra Xylo D4,2015,500000,50000,Diesel,Individual,Manual,Second Owner,Mahindra,XyloD4,10.819778284410283,13.122363377404328,9
2590,Mahindra KUV 100 mFALCON G80 K8 5str,2017,600000,53000,Petrol,Individual,Manual,First Owner,Mahindra,KUV100,10.87804719253426,13.304684934198283,7
2591,Maruti Wagon R VXI Optional,2017,350000,70000,Petrol,Individual,Manual,Second Owner,Maruti,WagonR,11.156250521031495,12.765688433465597,7
2592,Chevrolet Beat Diesel LT,2012,200000,70000,Diesel,Individual,Manual,Second Owner,Chevrolet,BeatDiesel,11.156250521031495,12.206072645530174,12
2594,Hyundai EON Sportz,2012,150000,80000,Petrol,Individual,Manual,First Owner,Hyundai,EONSportz,11.289781913656018,11.918390573078392,12
2595,Maruti Zen D PS,2003,75000,110000,Diesel,Individual,Manual,Second Owner,Maruti,ZenD,11.608235644774552,11.225243392518447,21
2596,Honda Amaze EX i-Dtech,2013,350000,90000,Diesel,Individual,Manual,Second Owner,Honda,AmazeEX,11.407564949312402,12.765688433465597,11
2600,Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,600000,5200,Petrol,Individual,Manual,First Owner,Hyundai,Elitei20,8.556413904569519,13.304684934198283,5
2601,Chevrolet Beat LS,2010,99000,60000,Petrol,Individual,Manual,Second Owner,Chevrolet,BeatLS,11.002099841204238,11.502875129116727,14
2602,Hyundai i10 Era 1.1 iTech SE,2011,235000,46000,Petrol,Individual,Manual,First Owner,Hyundai,i10Era,10.736396675471232,12.367340793126296,13
2603,Tata Indigo GLX,2006,75000,40000,Petrol,Individual,Manual,Second Owner,Tata,IndigoGLX,10.596634733096073,11.225243392518447,18
2604,Honda City i DTEC VX,2014,600000,90000,Diesel,Individual,Manual,Second Owner,Honda,Cityi,11.407564949312402,13.304684934198283,10
2606,Hyundai Verna 1.6 SX,2012,390000,90000,Diesel,Individual,Manual,First Owner,Hyundai,Verna1.6,11.407564949312402,12.873902018105829,12
2607,Volkswagen Polo 1.5 TDI Highline,2015,600000,70000,Diesel,Individual,Manual,First Owner,Volkswagen,Polo1.5,11.156250521031495,13.304684934198283,9
2608,Hyundai i20 1.2 Spotz,2017,600000,70000,Petrol,Individual,Manual,Second Owner,Hyundai,i201.2,11.156250521031495,13.304684934198283,7
2609,Hyundai Elite i20 Magna Plus Diesel,2019,730000,35000,Diesel,Individual,Manual,Second Owner,Hyundai,Elitei20,10.46310334047155,13.500799813124575,5
2610,Hyundai Grand i10 1.2 Kappa Magna AT,2017,450000,12700,Petrol,Individual,Automatic,First Owner,Hyundai,Grandi10,9.449357272446683,13.017002861746503,7
2611,Maruti Ritz LDi,2011,250000,80000,Diesel,Individual,Manual,First Owner,Maruti,RitzLDi,11.289781913656018,12.429216196844383,13
2613,Renault KWID 1.0 RXT Optional,2018,300000,20000,Petrol,Individual,Manual,First Owner,Renault,KWID1.0,9.903487552536127,12.611537753638338,6
2615,Fiat Grande Punto Active (Diesel),2009,125000,95000,Diesel,Individual,Manual,Second Owner,Fiat,GrandePunto,11.461632170582678,11.736069016284437,15
2618,Volkswagen Polo Diesel Trendline 1.2L,2012,295000,90000,Diesel,Individual,Manual,First Owner,Volkswagen,PoloDiesel,11.407564949312402,12.594730635321957,12
2619,Ford Ecosport 1.0 Ecoboost Platinum Edition BSIV,2013,650000,45839,Petrol,Dealer,Manual,First Owner,Ford,Ecosport1.0,10.732890536141944,13.38472764187182,11
2620,Chevrolet Aveo 1.4 LS,2010,200000,74510,Petrol,Dealer,Manual,First Owner,Chevrolet,Aveo1.4,11.218688623547774,12.206072645530174,14
2621,Chevrolet Aveo U-VA 1.2 LS,2009,130000,87293,Petrol,Dealer,Manual,First Owner,Chevrolet,AveoU-VA,11.377025555336783,11.77528972943772,15
2623,Ford Endeavour 2.5L 4X2 MT,2004,400000,93415,Diesel,Dealer,Manual,First Owner,Ford,Endeavour2.5L,11.444807210893938,12.89921982609012,20
2624,Ford Aspire Titanium BSIV,2017,430000,101159,Petrol,Dealer,Manual,First Owner,Ford,AspireTitanium,11.524448815404872,12.971540487669746,7
2625,Hyundai EON 1.0 Kappa Magna Plus,2015,170000,80000,Petrol,Individual,Manual,Second Owner,Hyundai,EON1.0,11.289781913656018,12.043553716032399,9
2626,Tata Tiago 2019-2020 XZ,2019,450000,12000,Petrol,Individual,Manual,First Owner,Tata,Tiago2019-2020,9.392661928770137,13.017002861746503,5
2627,Maruti Swift ZXI,2013,350000,90000,Petrol,Individual,Manual,First Owner,Maruti,SwiftZXI,11.407564949312402,12.765688433465597,11
2628,Chevrolet Spark 1.0 LT,2011,130000,68519,Petrol,Dealer,Manual,First Owner,Chevrolet,Spark1.0,11.134866358052516,11.77528972943772,13
2629,Chevrolet Beat Diesel LS,2012,180000,55130,Diesel,Dealer,Manual,First Owner,Chevrolet,BeatDiesel,10.917449311583729,12.100712129872347,12
2630,Ford Ecosport 1.0 Ecoboost Titanium Optional,2014,475000,65239,Petrol,Dealer,Manual,First Owner,Ford,Ecosport1.0,11.085812728597855,13.071070083016778,10
2631,Volkswagen Polo 1.2 MPI Comfortline,2015,470000,58182,Petrol,Dealer,Manual,First Owner,Volkswagen,Polo1.2,10.971331307532601,13.060487973686241,9
2632,Ford Fiesta Diesel Trend,2012,200000,91245,Diesel,Dealer,Manual,First Owner,Ford,FiestaDiesel,11.421303475422915,12.206072645530174,12
2633,Mahindra XUV500 W8 2WD,2013,650000,102989,Diesel,Dealer,Manual,First Owner,Mahindra,XUV500W8,11.542377465392157,13.38472764187182,11
2634,Honda City 1.5 E MT,2010,400000,50000,Petrol,Individual,Manual,First Owner,Honda,City1.5,10.819778284410283,12.89921982609012,14
2636,Maruti Swift Dzire VDI,2014,409999,90000,Diesel,Individual,Manual,First Owner,Maruti,SwiftDzire,11.407564949312402,12.923909999653127,10
2637,Maruti Swift VDI BSIV,2018,640000,25000,Diesel,Individual,Manual,First Owner,Maruti,SwiftVDI,10.126631103850338,13.369223455335854,6
2638,Maruti Wagon R LXI Minor,2007,160000,80000,Petrol,Individual,Manual,Second Owner,Maruti,WagonR,11.289781913656018,11.982929094215963,17
2640,Maruti Baleno Zeta 1.3,2018,750000,70000,Diesel,Individual,Manual,First Owner,Maruti,BalenoZeta,11.156250521031495,13.527828485512494,6
2641,Mahindra Jeep MM 550 XDB,2002,150000,50000,Diesel,Individual,Manual,Third Owner,Mahindra,JeepMM,10.819778284410283,11.918390573078392,22
2642,Maruti Alto STD,2008,80000,100000,Petrol,Individual,Manual,Second Owner,Maruti,AltoSTD,11.512925464970229,11.289781913656018,16
2643,Maruti Celerio VDi,2016,240000,90000,Diesel,Individual,Manual,Third Owner,Maruti,CelerioVDi,11.407564949312402,12.388394202324129,8
2644,Maruti Esteem Lxi,2005,60000,60000,Petrol,Individual,Manual,Third Owner,Maruti,EsteemLxi,11.002099841204238,11.002099841204238,19
2646,Volkswagen Jetta 1.9 Highline TDI,2008,285000,90000,Diesel,Individual,Automatic,Second Owner,Volkswagen,Jetta1.9,11.407564949312402,12.560244459250788,16
2647,Maruti Swift VDI BSIV,2015,350000,60000,Diesel,Individual,Manual,Second Owner,Maruti,SwiftVDI,11.002099841204238,12.765688433465597,9
2648,Hyundai i20 Active 1.4 SX with AVN,2015,699000,30000,Diesel,Individual,Manual,Second Owner,Hyundai,i20Active,10.308952660644293,13.457406021215947,9
2649,Ford Figo Diesel ZXI,2011,275000,108000,Diesel,Individual,Manual,Second Owner,Ford,FigoDiesel,11.589886506106357,12.524526376648708,13
2651,Maruti Alto LXi BSIII,2006,135000,90000,Petrol,Individual,Manual,Third Owner,Maruti,AltoLXi,11.407564949312402,11.813030057420567,18
2653,Mahindra XUV500 W8 2WD,2012,650000,102000,Diesel,Individual,Manual,Second Owner,Mahindra,XUV500W8,11.532728092266408,13.38472764187182,12
2656,Ford Fiesta Petrol Trend,2012,450000,60000,Petrol,Dealer,Manual,First Owner,Ford,FiestaPetrol,11.002099841204238,13.017002861746503,12
2657,Tata Tiago 1.2 Revotron XE,2019,425000,3000,Petrol,Individual,Manual,First Owner,Tata,Tiago1.2,8.006367567650246,12.959844447906553,5
2658,Maruti Alto LXi,2006,150000,75118,Petrol,Individual,Manual,Second Owner,Maruti,AltoLXi,11.22681548945956,11.918390573078392,18
2660,Hyundai Xcent 1.2 Kappa Base,2014,335000,60000,Petrol,Individual,Manual,Second Owner,Hyundai,Xcent1.2,11.002099841204238,12.721885810807203,10
2661,Chevrolet Optra 1.6,2006,120000,79000,Petrol,Dealer,Manual,Fourth & Above Owner,Chevrolet,Optra1.6,11.27720313144916,11.695247021764184,18
2662,Ford Ikon 1.6 ZXI NXt,2005,20000,25000,Petrol,Individual,Manual,Second Owner,Ford,Ikon1.6,10.126631103850338,9.903487552536127,19
2666,Tata Indigo LS,2012,220000,70000,Diesel,Individual,Manual,Second Owner,Tata,IndigoLS,11.156250521031495,12.301382825334498,12
2667,Ford Ikon 1.3 Flair,2005,61000,4637,Petrol,Individual,Manual,Second Owner,Ford,Ikon1.3,8.441822884391462,11.018629143155449,19
2668,Maruti Swift VDI BSIV,2016,620000,70000,Diesel,Individual,Manual,First Owner,Maruti,SwiftVDI,11.156250521031495,13.337474757021274,8
